COUNTRY,YEAR,PC_DEP
SWE,1994,40.376
SWE,1995,37.757
SWE,1996,40.442
SWE,1997,38.406
SWE,1998,37.875
SWE,1999,35.185
SWE,2000,39.316
SWE,2001,37.005
SWE,2002,37.664
SWE,2003,43.679
SWE,2004,37.256
SWE,2005,38.075
SWE,2006,38.227
SWE,2007,36.797
SWE,2008,38.416
SWE,2009,38.186
SWE,2010,37.99
SWE,2011,36.476
SWE,2012,30.164
SWE,2013,32.79
SWE,2014,32.335
SWE,2015,30.061
SWE,2016,33.301
SWE,2017,26.658
SWE,2018,29.059
SWE,2019,30.044
SWE,2020,33.511
TUR,1990,53.545
TUR,1991,47.41
TUR,1992,50.231
TUR,1993,55.291
TUR,1994,55.86
TUR,1995,59.274
TUR,1996,60.447
TUR,1997,59.945
TUR,1998,60.155
TUR,1999,60.893
TUR,2000,65.384
TUR,2001,64.574
TUR,2002,67.567
TUR,2003,70.507
TUR,2004,70.222
TUR,2005,71.68
TUR,2006,72.792
TUR,2007,74.154
TUR,2008,72.379
TUR,2009,70.375
TUR,2010,70.651
TUR,2011,71.111
TUR,2012,75.642
TUR,2013,75.385
TUR,2014,76.294
TUR,2015,77.877
TUR,2016,75.482
TUR,2017,77.168
TUR,2018,73.789
TUR,2019,69.952
TUR,2020,70.648
UKR,1990,47.639
UKR,1991,53.334
UKR,1992,50.773
UKR,1993,46.423
UKR,1994,45.53
UKR,1995,50.254
UKR,1996,51.058
UKR,1997,48.094
UKR,1998,45.201
UKR,1999,44.255
UKR,2000,43.052
UKR,2001,43.266
UKR,2002,43.599
UKR,2003,46.5
UKR,2004,45.282
UKR,2005,42.308
UKR,2006,41.476
UKR,2007,40.904
UKR,2008,42.416
UKR,2009,36.023
UKR,2010,31.557
UKR,2011,37.587
UKR,2012,31.325
UKR,2013,26.98
UKR,2014,25.912
UKR,2015,32.221
UKR,2016,30.13
UKR,2017,36.948
UKR,2018,34.467
UKR,2019,36.786
UKR,2020,34.057
